target_name,mechanism,target,val_false_locks_per_hour,test_false_locks_per_hour,test_over_target
primary,threshold,0.125,0.1399482191589112,0.2282273872864744,1.8258190982917952
primary,moving_average,0.125,0.1427471835420894,0.2296275553066368,1.8370204424530945
primary,ewma,0.125,0.113358057518718,0.2254270512461495,1.803416409969196
primary,majority_vote,0.125,0.1315513260093765,0.2058246989638756,1.6465975917110047
primary,debounce,0.125,0.1385487369673221,0.1764211705404648,1.4113693643237184
primary,margin,0.125,0.12595339724302,0.1750210025203024,1.4001680201624191
primary,hysteresis,0.125,0.1357497725841438,0.17362083450014,1.38896667600112
primary,trust,0.125,0.1091596109439507,0.120414449733968,0.963315597871744
primary,sprt,0.125,0.1427471835420894,0.1442173060767292,1.1537384486138336
primary,hmm,0.125,0.1427471835420894,0.1316157938952674,1.0529263511621392
sensitivity_1,threshold,0.5,0.524805821845917,0.7028843461215346,1.4057686922430692
sensitivity_1,moving_average,0.5,0.5541949478692884,0.7434892187062448,1.4869784374124897
sensitivity_1,ewma,0.5,0.5220068574627388,0.6986838420610474,1.3973676841220948
sensitivity_1,majority_vote,0.5,0.524805821845917,0.6482777933352003,1.2965555866704006
sensitivity_1,debounce,0.5,0.5569939122524665,0.6790814897787735,1.358162979557547
sensitivity_1,margin,0.5,0.5206073752711496,0.6258751050126016,1.2517502100252031
sensitivity_1,hysteresis,0.5,0.5262053040375061,0.5656678801456175,1.131335760291235
sensitivity_1,trust,0.5,0.5555944300608774,0.6062727527303277,1.2125455054606553
sensitivity_1,sprt,0.5,0.5010146245889021,0.5628675441052927,1.1257350882105854
sensitivity_1,hmm,0.5,0.5723882163599467,0.6216746009521144,1.2433492019042287
sensitivity_2,threshold,0.0416667,0.0461829123224406,0.0980117614113693,2.3522803920485496
sensitivity_2,moving_average,0.0416667,0.0461829123224406,0.0882105852702324,2.1170523528436953
sensitivity_2,ewma,0.0416667,0.0475823945140298,0.1022122654718566,2.4530924088506314
sensitivity_2,majority_vote,0.0416667,0.0461829123224406,0.08681041725007,2.083448347243002
sensitivity_2,debounce,0.0416667,0.037786019172906,0.0700084010081209,1.6802002800346776
sensitivity_2,margin,0.0416667,0.0461829123224406,0.0784094091290955,1.881824313638841
sensitivity_2,hysteresis,0.0416667,0.0475823945140298,0.0560067208064967,1.3441602240277415
sensitivity_2,trust,0.0416667,0.0447834301308515,0.0798095771492579,1.9154283192395343
sensitivity_2,sprt,0.0416667,0.0657756630046882,0.0756090730887706,1.8146163024374524
sensitivity_2,hmm,0.0416667,0.0475823945140298,0.1106132735928311,2.6547164424547924
